Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.900000,27.900000,26.900000,26.900000,20.569201,104000
2000-01-04,27.299999,27.400000,26.706249,26.706249,20.421049,133000
2000-01-05,26.650000,26.650000,25.900000,26.487499,20.253777,58000
2000-01-06,25.350000,25.350000,24.900000,25.000000,19.116352,78000
2000-01-07,25.600000,26.299999,25.400000,26.299999,20.110405,142000
2000-01-10,27.000000,27.000000,26.500000,26.600000,20.339804,99000
2000-01-11,26.500000,26.500000,25.700001,25.750000,19.689844,35000
2000-01-12,26.049999,26.150000,25.700001,25.799999,19.728081,57000
2000-01-13,26.500000,26.500000,25.850000,26.200001,20.033939,110000
2000-01-14,26.299999,26.500000,26.200001,26.500000,20.263342,28000
2000-01-18,26.500000,26.799999,26.356251,26.450001,20.225109,176000
2000-01-19,25.525000,26.000000,25.525000,25.850000,19.766312,26000
2000-01-20,25.900000,26.100000,25.756250,25.756250,19.694635,30000
2000-01-21,26.400000,26.400000,25.700001,25.700001,19.651617,51000
2000-01-24,26.200001,26.250000,25.924999,26.200001,20.033939,31000
2000-01-25,26.150000,26.250000,26.100000,26.100000,19.957487,23000
2000-01-26,26.100000,26.400000,25.750000,25.850000,19.766312,50000
2000-01-27,26.000000,26.299999,25.900000,25.900000,19.804541,54000
2000-01-28,26.500000,26.700001,26.100000,26.181250,20.019609,63000
2000-01-31,26.500000,26.531250,26.250000,26.450001,20.225109,56000
2000-02-01,26.350000,26.350000,25.962500,25.962500,19.852335,54000
2000-02-02,26.500000,26.600000,26.400000,26.500000,20.263342,54000
2000-02-03,27.200001,27.850000,27.000000,27.837500,21.286064,101000
2000-02-04,28.200001,28.850000,28.200001,28.400000,21.716181,57000
2000-02-07,28.900000,28.900000,28.775000,28.881250,22.084171,113000
2000-02-08,28.400000,28.799999,28.400000,28.600000,21.869116,90000
2000-02-09,28.700001,29.193750,28.600000,28.750000,21.983810,58000
2000-02-10,28.299999,28.750000,28.299999,28.725000,21.964693,44000
2000-02-11,28.400000,28.600000,28.200001,28.206249,21.568026,60000
2000-02-14,28.100000,28.400000,28.100000,28.100000,21.486788,26000
2000-02-15,27.700001,27.843750,27.299999,27.537500,21.056671,60000
2000-02-16,27.049999,27.100000,26.775000,27.006250,20.650450,95000
2000-02-17,27.000000,27.049999,26.900000,26.900000,20.569201,109000
2000-02-18,26.987499,27.000000,26.406250,26.506250,20.268116,66000
2000-02-22,26.100000,26.100000,25.500000,25.906250,19.809320,134000
2000-02-23,26.700001,26.700001,26.500000,26.700001,20.416265,45000
2000-02-24,27.262501,27.450001,26.950001,27.000000,20.645664,117000
2000-02-25,27.100000,27.150000,26.950001,27.150000,20.760361,56000
2000-02-28,27.650000,28.250000,27.650000,28.250000,21.601484,96000
